epoch,iter,loss
1,2001,0.04709172313627989
2,2001,-0.27476971977572334
3,2001,-0.7629265978221206
4,2001,-1.4392300164685405
5,2001,-1.8997501705506483
6,2001,-2.3702151736859856
7,2001,-2.6309730369431983
8,2001,-3.2944118638431235
9,2001,-3.5979796249693123
10,2001,-4.187629089098254
11,2001,-4.350924810458874
12,2001,-4.822988030427638
13,2001,-5.268418992670818
14,2001,-5.503814562414212
15,2001,-5.789593252404102
16,2001,-5.844117498300366
17,2001,-6.074636736485376
18,2001,-6.3913357378928914
19,2001,-6.724247619878317
20,2001,-6.98721982638488
21,2001,-6.9920481844343945
22,2001,-7.453685111020399
23,2001,-7.351391025442353
24,2001,-7.549289486613469
25,2001,-7.719665953125255
26,2001,-8.036413754539929
27,2001,-8.25435928946388
28,2001,-8.196824450915244
29,2001,-8.299836824188704
30,2001,-8.563415535036354
31,2001,-8.623190829711875
32,2001,-8.854765815646395
33,2001,-8.729242536193249
34,2001,-9.043729671144458
35,2001,-9.40170991631492
36,2001,-9.534187611631829
37,2001,-9.729556151050916
38,2001,-9.981238875997954
39,2001,-9.83890879944317
40,2001,-9.959284219955993
41,2001,-10.040583340675457
42,2001,-10.234438046276837
43,2001,-9.980799686783614
44,2001,-10.177172218834324
45,2001,-10.198128519886021
46,2001,-10.384435709076246
47,2001,-10.386207429983507
48,2001,-10.493400796272349
49,2001,-10.577376434195047
50,2001,-10.51163736632143
51,2001,-10.451131842304385
52,2001,-10.567812519214083
53,2001,-10.63531334535114
54,2001,-10.599939115103455
55,2001,-10.713440503212048
56,2001,-10.688792770800145
57,2001,-10.801818291208464
58,2001,-10.747048178548994
59,2001,-11.072217808759909
60,2001,-11.174154425251192
61,2001,-11.06700245407538
62,2001,-11.392471996278896
63,2001,-11.297902688555334
64,2001,-11.104914116128155
65,2001,-11.142724733123893
66,2001,-11.406374831711394
67,2001,-11.45598287105203
68,2001,-11.447214069856756
69,2001,-11.439305507990792
70,2001,-11.48257174174944
